"id","name","supertype","subtypes","hp","types","rarity","retreatCost","convertedRetreatCost","AbilityName","AbilityText","Attack1Name","Attack1Cost","Attack1ConvertedCost","Attack1Damage","Attack1Text","Attack2Name","Attack2Cost","Attack2ConvertedCost","Attack2Damage","Attack2Text"
"gym1-1","Blaine's Moltres","Pokemon","Basic","90","Fire","Rare Holo","Colorless, Colorless, Colorless","3","","","Phoenix Flame","Fire, Fire, Fire, Fire, Fire","5","90","Flip a coin. If tails, shuffle Blaine's Moltres and all cards attached to it into your deck (after doing damage).","","","","",""
"gym1-2","Brock's Rhydon","Pokemon","Stage 1","80","Fighting","Rare Holo","Colorless, Colorless, Colorless","3","Bench Guard","As long as Brock's Rhydon is Benched, whenever 1 of your Benched Pokemon is damaged, you may do 10 of that damage to Brock's Rhydon instead. (If more than 1 of your Benched Pokemon is damaged at the same time, you may use this power once for each of them.)","Lariat","Fighting, Fighting, Colorless, Colorless","4","70","Flip a coin. If tails, this attack does nothing.","","","","",""
"gym1-3","Erika's Clefable","Pokemon","Stage 1","70","Colorless","Rare Holo","Colorless, Colorless","2","","","Fairy Power","Colorless","1","","Flip a coin. If heads, you may return any number of your Pokemon in play and all cards attached to them to your hand.","Moon Impact","Colorless, Colorless, Colorless","3","30",""
"gym1-4","Erika's Dragonair","Pokemon","Stage 1","80","Colorless","Rare Holo","Colorless, Colorless","2","","","Blizzard","Colorless, Colorless, Colorless","3","30","Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokemon. If tails, this attack does 10 damage to each of your own Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)","Take Away","Colorless, Colorless, Colorless, Colorless","4","","Shuffle Erika's Dragonair and all cards attached to it into your deck. Then, your opponent shuffles his or her Active Pokemon and all cards attached to it into his or her deck."
"gym1-5","Erika's Vileplume","Pokemon","Stage 2","80","Grass","Rare Holo","Colorless, Colorless","2","Pollen Defense","If an attack does damage to Erika's Vileplume while it's your Active Pokemon (even if it's Knocked Out), flip a coin. If heads, your opponent's Active Pokemon is now Confused. This power works even while Erika's Vileplume is Asleep, Confused, or Paralyzed.","Mega Drain","Grass, Grass, Grass","3","30","If Erika's Vileplume does damage to the Defending Pokemon (after applying Weakness and Resistance), remove a number of damage counters from Erika's Vileplume equal to half the damage done to the Defending Pokemon (rounded up to the nearest 10). If Erika's Vileplume has fewer damage counters than that, remove all of them.","","","","",""
"gym1-6","Lt. Surge's Electabuzz","Pokemon","Basic","70","Lightning","Rare Holo","Colorless, Colorless","2","","","Charge","Lightning","1","","Take up to 2 Lightning Energy cards from your discard pile and attach them to Lt. Surge's Electabuzz.","Discharge","Lightning","1","30x","Discard all Lightning Energy cards attached to Lt. Surge's Electabuzz in order to use this attack. Flip a number of coins equal to the number of Lightning Energy cards you discarded. This attack does 30 damage times the number of heads."
"gym1-7","Lt. Surge's Fearow","Pokemon","Stage 1","70","Colorless","Rare Holo","","0","","","Repeating Drill","Colorless, Colorless","2","10x","Flip 5 coins. This attack does 10 damage times the number of heads.","Clutch","Colorless, Colorless, Colorless","3","30","The Defending Pokemon can't retreat during your opponent's next turn."
"gym1-8","Lt. Surge's Magneton","Pokemon","Stage 1","70","Lightning","Rare Holo","Colorless, Colorless","2","Energy Charge","As often as you like during your turn (before your attack), if Lt. Surge's Magneton is your Active Pokemon, you may take 1 Lightning Energy card attached to 1 of your Pokemon and attach it to Lt. Surge's Magneton. This power can't be used if Lt. Surge's Magneton is Asleep, Confused, or Paralyzed.","Mega Shock","Lightning, Lightning, Lightning, Colorless","4","50","Flip a coin. If tails, Lt. Surge's Magneton does 20 damage to itself.","","","","",""
"gym1-9","Misty's Seadra","Pokemon","Stage 1","70","Water","Rare Holo","Colorless","1","","","Tail Snap","Water","1","20","","Knockout Needle","Water, Water, Water","3","30+","Flip 2 coins. If both of them are heads, this attack does 30 damage plus 60 more damage. If 1 or both of them are tails, this attack does 30 damage."
"gym1-10","Misty's Tentacruel","Pokemon","Stage 1","70","Water","Rare Holo","","0","Flee","If an attack does damage to Misty's Tentacruel while it's your Active Pokemon, you may switch it with 1 of your Benched Pokemon, which prevents all other effects of that attack on Misty's Tentacruel. This power can't be used if Misty's Tentacruel is already Asleep, Confused, or Paralyzed.","Jellyfish Poison","Water, Water, Colorless, Colorless","4","30","Flip a coin. If heads, the Defending Pokemon is now Poisoned. If tails, the Defending Pokemon is now Confused.","","","","",""
"gym1-11","Rocket's Hitmonchan","Pokemon","Basic","60","Fighting","Rare Holo","Colorless","1","","","Crosscounter","Fighting","1","","If an attack does damage to Rocket's Hitmonchan during your opponent's next turn (even if Rocket's Hitmonchan is Knocked Out), flip a coin. If heads, Rocket's Hitmonchan attacks your opponent's Active Pokemon for double that amount of damage. (If Rocket's Hitmonchan takes 20 damage, it does 40 damage to that Pokemon.)","Magnum Punch","Fighting, Fighting, Colorless","3","50",""
"gym1-12","Rocket's Moltres","Pokemon","Basic","60","Fire","Rare Holo","Colorless, Colorless","2","Rebirth","When Rocket's Moltres is Knocked Out, you may return it to your hand after discarding it. This power can't be used if Rocket's Moltres is Asleep, Confused, or Paralyzed when it is Knocked Out.","Fire Wall","Fire, Fire, Fire","3","40","If an attack does damage to Rocket's Moltres during your opponent's next turn (even if Rocket's Moltres is Knocked Out), Rocket's Moltres attacks your opponent's Active Pokemon for 10 damage. (Apply Weakness and Resistance.)","","","","",""
"gym1-13","Rocket's Scyther","Pokemon","Basic","60","Grass","Rare Holo","Colorless","1","","","Shadow Images","Grass","1","","Whenever Rocket's Scyther is attacked, your opponent flips a coin. If tails, that attack does no damage to Rocket's Scyther. (Any other effects of the attack still happen.) This effect lasts until Rocket's Scyther takes damage (or is Benched or is evolved).","Blinding Scythe","Grass, Colorless, Colorless","3","40",""
